"codigo_pais","nome_pais","sigla_pais"
404,"Quênia","KEN"
417,"Quirguistão","KGZ"
826,"Reino Unido","GBR"
140,"República Centro Africana","CAF"
180,"República Democrática do Congo","COD"
214,"República Dominicana","DOM"
203,"República Tcheca","CZE"
642,"Romênia","ROU"
646,"Ruanda","RWA"
643,"Rússia (Federação Russa)","RUS"
732,"Saara Ocidental","ESH"
663,"Saint Martin (parte francesa)","MAF"
534,"Saint Martin (parte holandesa)","SXM"
666,"Saint Pierre e Miquelon","SPM"
882,"Samoa","WSM"
16,"Samoa Americana","ASM"
674,"San Marino","SMR"
654,"Santa Helena","SHN"
662,"Santa Lúcia","LCA"
652,"São Bartolomeu","BLM"
659,"São Cristóvão e Nevis","KNA"
678,"São Tome e Príncipe","STP"
670,"São Vicente e Granadinas","VCT"
680,"Sark"," "
690,"Seichelles","SYC"
686,"Senegal","SEN"
694,"Serra Leoa","SLE"
688,"Sérvia","SRB"
760,"Síria","SYR"
706,"Somália","SOM"
144,"Sri Lanka","LKA"
748,"Suazilândia","SWZ"
728,"Sudão do Sul","SSD"
729,"Sudão","SDN"
752,"Suécia","SWE"
756,"Suíça","CHE"
740,"Suriname","SUR"
744,"Svalbard e Jan Mayen Islands","SJM"
762,"Tadjiquistão","TJK"
764,"Tailândia","THA"
834,"Tanzânia","TZA"
626,"Timor Leste","TLS"
768,"Togo","TGO"
772,"Tokelau","TKL"
776,"Tonga","TON"
780,"Trinidad e Tobago","TTO"
788,"Tunísia","TUN"
795,"Turcomenistão","TKM"
792,"Turquia","TUR"
798,"Tuvalu","TUV"
804,"Ucrânia","UKR"
800,"Uganda","UGA"
858,"Uruguai","URY"
860,"Uzbequistão","UZB"
548,"Vanuatu","VUT"
336,"Vaticano","VAT"
862,"Venezuela","VEN"
704,"Vietnã","VNM"
894,"Zâmbia","ZMB"
716,"Zimbábue","ZWE"
